occupation_name,year,quintile_0,quintile_1,quintile_2,quintile_3,quintile_4
돌봄 및 보건 서비스 종사자,2019,0.5076335877862596,0.1984732824427481,0.2480916030534351,0.03435114503816794,0.011450381679389313
돌봄 및 보건 서비스 종사자,2020,0.43103448275862066,0.1896551724137931,0.31724137931034485,0.05172413793103448,0.010344827586206896
돌봄 및 보건 서비스 종사자,2021,0.4557377049180328,0.19672131147540983,0.29508196721311475,0.04590163934426229,0.006557377049180328
돌봄 및 보건 서비스 종사자,2022,0.39820359281437123,0.23053892215568864,0.2844311377245509,0.0748502994011976,0.011976047904191617
돌봄 및 보건 서비스 종사자,2023,0.36338028169014086,0.2084507042253521,0.3126760563380282,0.10140845070422536,0.014084507042253521
디자이너,2009,0.10638297872340426,0.2765957446808511,0.3617021276595745,0.2127659574468085,0.0425531914893617
디자이너,2010,0.14285714285714285,0.25,0.32142857142857145,0.21428571428571427,0.07142857142857142
디자이너,2011,0.12727272727272726,0.12727272727272726,0.32727272727272727,0.32727272727272727,0.09090909090909091
디자이너,2012,0.15254237288135594,0.1864406779661017,0.23728813559322035,0.3220338983050847,0.1016949152542373
디자이너,2013,0.13725490196078433,0.1568627450980392,0.27450980392156865,0.27450980392156865,0.1568627450980392
디자이너,2014,0.057692307692307696,0.19230769230769232,0.28846153846153844,0.28846153846153844,0.17307692307692307
디자이너,2015,0.09090909090909091,0.18181818181818182,0.38181818181818183,0.18181818181818182,0.16363636363636364
디자이너,2016,0.06896551724137931,0.15517241379310345,0.3103448275862069,0.29310344827586204,0.1724137931034483
디자이너,2017,0.07142857142857142,0.14285714285714285,0.375,0.26785714285714285,0.14285714285714285
디자이너,2018,0.05063291139240506,0.13924050632911392,0.25316455696202533,0.35443037974683544,0.20253164556962025
디자이너,2019,0.041666666666666664,0.1111111111111111,0.2361111111111111,0.3611111111111111,0.25
디자이너,2020,0.09090909090909091,0.06060606060606061,0.19696969696969696,0.3939393939393939,0.25757575757575757
디자이너,2021,0.06666666666666667,0.05333333333333334,0.24,0.37333333333333335,0.26666666666666666
디자이너,2022,0.04,0.05333333333333334,0.17333333333333334,0.36,0.37333333333333335
디자이너,2023,0.041666666666666664,0.027777777777777776,0.16666666666666666,0.375,0.3888888888888889
마케팅 및 광고·홍보 관리자,2023,0.0,0.0,0.0,0.0,1.0
매장 판매 종사자,2009,0.33396584440227706,0.2409867172675522,0.17647058823529413,0.127134724857685,0.12144212523719165
매장 판매 종사자,2010,0.3055028462998102,0.22960151802656548,0.18026565464895636,0.16318785578747627,0.12144212523719165
매장 판매 종사자,2011,0.26515151515151514,0.26136363636363635,0.16856060606060605,0.14962121212121213,0.1553030303030303
매장 판매 종사자,2012,0.23277467411545624,0.24581005586592178,0.18808193668528864,0.1713221601489758,0.16201117318435754
매장 판매 종사자,2013,0.21296296296296297,0.25,0.19814814814814816,0.17037037037037037,0.1685185185185185
매장 판매 종사자,2014,0.20440881763527055,0.23847695390781562,0.20440881763527055,0.16633266533066132,0.18637274549098196
매장 판매 종사자,2015,0.1918819188191882,0.22324723247232472,0.20848708487084872,0.17896678966789667,0.1974169741697417
매장 판매 종사자,2016,0.20146520146520147,0.2032967032967033,0.20512820512820512,0.19413919413919414,0.19597069597069597
매장 판매 종사자,2017,0.18232044198895028,0.21178637200736647,0.24493554327808473,0.16758747697974216,0.19337016574585636
매장 판매 종사자,2018,0.1686746987951807,0.18072289156626506,0.2397590361445783,0.20602409638554217,0.20481927710843373
매장 판매 종사자,2019,0.18925831202046037,0.13682864450127877,0.2710997442455243,0.2020460358056266,0.20076726342711
매장 판매 종사자,2020,0.16942148760330578,0.14049586776859505,0.26859504132231404,0.21487603305785125,0.2066115702479339
매장 판매 종사자,2021,0.20454545454545456,0.1278409090909091,0.22443181818181818,0.22585227272727273,0.21732954545454544
매장 판매 종사자,2022,0.17062937062937064,0.0993006993006993,0.25034965034965034,0.2545454545454545,0.22517482517482518
매장 판매 종사자,2023,0.15820029027576196,0.10449927431059507,0.216255442670537,0.25834542815674894,0.262699564586357
목재·가구·간판 기능 종사자,2009,0.043478260869565216,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.043478260869565216
목재·가구·간판 기능 종사자,2010,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.36363636363636365,0.13636363636363635
목재·가구·간판 기능 종사자,2011,0.1,0.23333333333333334,0.3,0.26666666666666666,0.1
목재·가구·간판 기능 종사자,2012,0.0967741935483871,0.16129032258064516,0.3548387096774194,0.3225806451612903,0.06451612903225806
목재·가구·간판 기능 종사자,2013,0.07142857142857142,0.25,0.25,0.21428571428571427,0.21428571428571427
목재·가구·간판 기능 종사자,2014,0.04,0.24,0.12,0.36,0.24
목재·가구·간판 기능 종사자,2015,0.08,0.12,0.24,0.4,0.16
목재·가구·간판 기능 종사자,2016,0.07407407407407407,0.18518518518518517,0.1111111111111111,0.37037037037037035,0.25925925925925924
목재·가구·간판 기능 종사자,2017,0.038461538461538464,0.11538461538461539,0.2692307692307692,0.34615384615384615,0.23076923076923078
목재·가구·간판 기능 종사자,2018,0.05,0.05,0.275,0.325,0.3
목재·가구·간판 기능 종사자,2019,0.0,0.15384615384615385,0.2564102564102564,0.3076923076923077,0.28205128205128205
목재·가구·간판 기능 종사자,2020,0.0,0.0625,0.21875,0.46875,0.25
목재·가구·간판 기능 종사자,2021,0.030303030303030304,0.06060606060606061,0.18181818181818182,0.42424242424242425,0.30303030303030304
목재·가구·간판 기능 종사자,2022,0.05555555555555555,0.027777777777777776,0.2222222222222222,0.3055555555555556,0.3888888888888889
목재·가구·간판 기능 종사자,2023,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.5
목재·종이 기계 조작원,2009,0.0,0.4,0.2,0.3333333333333333,0.06666666666666667
목재·종이 기계 조작원,2010,0.21052631578947367,0.3157894736842105,0.21052631578947367,0.21052631578947367,0.05263157894736842
목재·종이 기계 조작원,2011,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.17647058823529413
목재·종이 기계 조작원,2012,0.0625,0.125,0.375,0.25,0.1875
목재·종이 기계 조작원,2013,0.0625,0.25,0.25,0.3125,0.125
목재·종이 기계 조작원,2014,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
목재·종이 기계 조작원,2015,0.0,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.14285714285714285
목재·종이 기계 조작원,2016,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.15384615384615385
목재·종이 기계 조작원,2017,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727
목재·종이 기계 조작원,2018,0.0,0.0625,0.375,0.1875,0.375
목재·종이 기계 조작원,2019,0.0,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.47058823529411764
목재·종이 기계 조작원,2020,0.125,0.125,0.125,0.25,0.375
목재·종이 기계 조작원,2021,0.0,0.05555555555555555,0.3333333333333333,0.2222222222222222,0.3888888888888889
목재·종이 기계 조작원,2022,0.045454545454545456,0.045454545454545456,0.3181818181818182,0.2727272727272727,0.3181818181818182
목재·종이 기계 조작원,2023,0.0,0.0,0.45,0.15,0.4
문리·기술 및 예능 강사,2009,0.35944700460829493,0.2626728110599078,0.16589861751152074,0.12442396313364056,0.08755760368663594
문리·기술 및 예능 강사,2010,0.36363636363636365,0.20909090909090908,0.18181818181818182,0.15,0.09545454545454546
문리·기술 및 예능 강사,2011,0.36492890995260663,0.1848341232227488,0.1895734597156398,0.15639810426540285,0.10426540284360189
문리·기술 및 예능 강사,2012,0.27692307692307694,0.18974358974358974,0.2153846153846154,0.17435897435897435,0.14358974358974358
문리·기술 및 예능 강사,2013,0.28717948717948716,0.17435897435897435,0.1794871794871795,0.21025641025641026,0.14871794871794872
문리·기술 및 예능 강사,2014,0.24022346368715083,0.2011173184357542,0.24581005586592178,0.15083798882681565,0.16201117318435754
문리·기술 및 예능 강사,2015,0.2698412698412698,0.21693121693121692,0.19047619047619047,0.15873015873015872,0.164021164021164
문리·기술 및 예능 강사,2016,0.2552083333333333,0.22916666666666666,0.19791666666666666,0.16145833333333334,0.15625
문리·기술 및 예능 강사,2017,0.26011560693641617,0.21965317919075145,0.17341040462427745,0.2023121387283237,0.14450867052023122
문리·기술 및 예능 강사,2018,0.25886524822695034,0.13829787234042554,0.22695035460992907,0.24113475177304963,0.1347517730496454
문리·기술 및 예능 강사,2019,0.28205128205128205,0.1391941391941392,0.22344322344322345,0.21245421245421245,0.14285714285714285
문리·기술 및 예능 강사,2020,0.28125,0.140625,0.23046875,0.19140625,0.15625
문리·기술 및 예능 강사,2021,0.2661596958174905,0.1596958174904943,0.21673003802281368,0.19391634980988592,0.1634980988593156
문리·기술 및 예능 강사,2022,0.2730496453900709,0.10638297872340426,0.2553191489361702,0.21631205673758866,0.14893617021276595
문리·기술 및 예능 강사,2023,0.1890909090909091,0.14909090909090908,0.24363636363636362,0.20363636363636364,0.21454545454545454
문화·예술 관련 관리자,2009,0.0,0.0,0.0,0.0,1.0
문화·예술 관련 관리자,2010,0.0,0.0,1.0,0.0,0.0
문화·예술 관련 관리자,2011,0.0,0.0,1.0,0.0,0.0
문화·예술 관련 관리자,2018,0.0,0.0,0.0,1.0,0.0
문화·예술 관련 관리자,2019,0.0,0.0,0.0,1.0,0.0
문화·예술 관련 관리자,2020,0.0,0.0,0.0,1.0,0.0
문화·예술 관련 관리자,2021,0.0,0.0,0.0,0.0,1.0
문화·예술 관련 관리자,2022,0.0,0.0,0.0,0.0,1.0
문화·예술 관련 관리자,2023,0.0,0.0,0.0,0.0,1.0
문화·예술 기획자 및 매니저,2009,0.0,1.0,0.0,0.0,0.0
문화·예술 기획자 및 매니저,2010,0.0,1.0,0.0,0.0,0.0
문화·예술 기획자 및 매니저,2011,0.0,1.0,0.0,0.0,0.0
문화·예술 기획자 및 매니저,2012,0.0,0.0,0.5,0.5,0.0
문화·예술 기획자 및 매니저,2013,0.0,0.0,0.0,1.0,0.0
문화·예술 기획자 및 매니저,2014,0.0,1.0,0.0,0.0,0.0
문화·예술 기획자 및 매니저,2018,0.0,0.0,0.0,1.0,0.0
문화·예술 기획자 및 매니저,2019,0.0,0.0,0.0,1.0,0.0
문화·예술 기획자 및 매니저,2020,0.5,0.0,0.0,0.0,0.5
문화·예술 기획자 및 매니저,2021,0.0,0.0,0.5,0.0,0.5
문화·예술 기획자 및 매니저,2022,1.0,0.0,0.0,0.0,0.0
문화·예술 기획자 및 매니저,2023,0.0,0.0,0.0,0.0,1.0
물품 이동 장비 조작원,2009,0.037037037037037035,0.07407407407407407,0.48148148148148145,0.2222222222222222,0.18518518518518517
물품 이동 장비 조작원,2010,0.034482758620689655,0.0,0.5172413793103449,0.3448275862068966,0.10344827586206896
물품 이동 장비 조작원,2011,0.0,0.03333333333333333,0.36666666666666664,0.36666666666666664,0.23333333333333334
물품 이동 장비 조작원,2012,0.0,0.0,0.3333333333333333,0.5185185185185185,0.14814814814814814
물품 이동 장비 조작원,2013,0.04,0.12,0.16,0.44,0.24
물품 이동 장비 조작원,2014,0.03571428571428571,0.03571428571428571,0.25,0.32142857142857145,0.35714285714285715
물품 이동 장비 조작원,2015,0.0,0.04,0.36,0.2,0.4
물품 이동 장비 조작원,2016,0.0,0.038461538461538464,0.34615384615384615,0.3076923076923077,0.3076923076923077
물품 이동 장비 조작원,2017,0.0,0.0,0.2692307692307692,0.5769230769230769,0.15384615384615385
물품 이동 장비 조작원,2018,0.0,0.043478260869565216,0.21739130434782608,0.30434782608695654,0.43478260869565216
물품 이동 장비 조작원,2019,0.0,0.044444444444444446,0.17777777777777778,0.4444444444444444,0.3333333333333333
물품 이동 장비 조작원,2020,0.0,0.04,0.14,0.46,0.36
물품 이동 장비 조작원,2021,0.0,0.0,0.19230769230769232,0.4423076923076923,0.36538461538461536
물품 이동 장비 조작원,2022,0.0,0.0,0.07142857142857142,0.42857142857142855,0.5
물품 이동 장비 조작원,2023,0.0,0.0,0.08333333333333333,0.45,0.4666666666666667
미용 서비스 종사자,2009,0.3170731707317073,0.25609756097560976,0.2073170731707317,0.10975609756097561,0.10975609756097561
미용 서비스 종사자,2010,0.34523809523809523,0.27380952380952384,0.17857142857142858,0.10714285714285714,0.09523809523809523
미용 서비스 종사자,2011,0.2702702702702703,0.25675675675675674,0.2702702702702703,0.10810810810810811,0.0945945945945946
미용 서비스 종사자,2012,0.27906976744186046,0.2441860465116279,0.23255813953488372,0.12790697674418605,0.11627906976744186
미용 서비스 종사자,2013,0.23809523809523808,0.23809523809523808,0.2976190476190476,0.13095238095238096,0.09523809523809523
미용 서비스 종사자,2014,0.29333333333333333,0.22666666666666666,0.18666666666666668,0.17333333333333334,0.12
미용 서비스 종사자,2015,0.34210526315789475,0.18421052631578946,0.2236842105263158,0.17105263157894737,0.07894736842105263
미용 서비스 종사자,2016,0.18666666666666668,0.22666666666666666,0.29333333333333333,0.2,0.09333333333333334
미용 서비스 종사자,2017,0.2111111111111111,0.2111111111111111,0.2777777777777778,0.17777777777777778,0.12222222222222222
미용 서비스 종사자,2018,0.2536231884057971,0.21739130434782608,0.2246376811594203,0.18840579710144928,0.11594202898550725
미용 서비스 종사자,2019,0.2283464566929134,0.2204724409448819,0.28346456692913385,0.15748031496062992,0.11023622047244094
미용 서비스 종사자,2020,0.2109375,0.2109375,0.2265625,0.234375,0.1171875
미용 서비스 종사자,2021,0.21666666666666667,0.19166666666666668,0.25833333333333336,0.225,0.10833333333333334
미용 서비스 종사자,2022,0.16153846153846155,0.19230769230769232,0.25384615384615383,0.24615384615384617,0.14615384615384616
미용 서비스 종사자,2023,0.11764705882352941,0.11764705882352941,0.27941176470588236,0.2426470588235294,0.2426470588235294
발전·배전장치 조작원,2009,0.25,0.0,0.0,0.5,0.25
발전·배전장치 조작원,2010,0.0,0.0,0.0,0.5,0.5
발전·배전장치 조작원,2011,0.0,0.0,0.25,0.5,0.25
발전·배전장치 조작원,2012,0.0,0.0,0.25,0.25,0.5
발전·배전장치 조작원,2013,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
발전·배전장치 조작원,2014,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
발전·배전장치 조작원,2015,0.0,0.0,0.0,0.25,0.75
발전·배전장치 조작원,2016,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
발전·배전장치 조작원,2017,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
발전·배전장치 조작원,2018,0.0,0.0,0.0,0.5,0.5
발전·배전장치 조작원,2019,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
발전·배전장치 조작원,2020,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
발전·배전장치 조작원,2021,0.0,0.0,0.0,0.0,1.0
발전·배전장치 조작원,2022,0.0,0.0,0.125,0.0,0.875
발전·배전장치 조작원,2023,0.0,0.0,0.0,0.0,1.0
방문 및 노점 판매 관련직,2009,0.65,0.15,0.16666666666666666,0.03333333333333333,0.0
방문 및 노점 판매 관련직,2010,0.6170212765957447,0.14893617021276595,0.10638297872340426,0.10638297872340426,0.02127659574468085
방문 및 노점 판매 관련직,2011,0.6590909090909091,0.13636363636363635,0.18181818181818182,0.022727272727272728,0.0
방문 및 노점 판매 관련직,2012,0.6086956521739131,0.13043478260869565,0.17391304347826086,0.08695652173913043,0.0
방문 및 노점 판매 관련직,2013,0.58,0.22,0.12,0.06,0.02
방문 및 노점 판매 관련직,2014,0.5454545454545454,0.1590909090909091,0.1590909090909091,0.11363636363636363,0.022727272727272728
방문 및 노점 판매 관련직,2015,0.5106382978723404,0.23404255319148937,0.1276595744680851,0.10638297872340426,0.02127659574468085
방문 및 노점 판매 관련직,2016,0.5,0.225,0.175,0.05,0.05
방문 및 노점 판매 관련직,2017,0.36585365853658536,0.2926829268292683,0.17073170731707318,0.12195121951219512,0.04878048780487805
방문 및 노점 판매 관련직,2018,0.34545454545454546,0.2545454545454545,0.21818181818181817,0.14545454545454545,0.03636363636363636
방문 및 노점 판매 관련직,2019,0.4,0.16363636363636364,0.2545454545454545,0.16363636363636364,0.01818181818181818
방문 및 노점 판매 관련직,2020,0.49019607843137253,0.13725490196078433,0.3333333333333333,0.0392156862745098,0.0
방문 및 노점 판매 관련직,2021,0.41304347826086957,0.13043478260869565,0.32608695652173914,0.13043478260869565,0.0
방문 및 노점 판매 관련직,2022,0.38636363636363635,0.20454545454545456,0.11363636363636363,0.22727272727272727,0.06818181818181818
방문 및 노점 판매 관련직,2023,0.36363636363636365,0.1590909090909091,0.1590909090909091,0.2727272727272727,0.045454545454545456
방송·통신장비 설치·수리원,2009,0.10714285714285714,0.25,0.32142857142857145,0.17857142857142858,0.14285714285714285
